Store,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2022-05-03,6390,144,1,0,0,0
1,2022-05-04,4507,82,1,0,0,0
1,2022-05-05,5938,135,1,0,0,0
1,2022-05-06,6907,160,1,1,0,0
1,2022-05-07,7101,128,1,0,0,0
1,2022-05-08,6074,155,1,0,0,0
1,2022-05-09,6936,196,1,1,0,1
1,2022-05-10,5639,134,1,0,0,0
1,2022-05-11,5324,150,1,0,0,0
1,2022-05-12,5320,119,1,0,0,0
1,2022-05-13,4273,113,1,0,0,0
1,2022-05-14,6455,143,1,0,0,0
1,2022-05-15,6789,176,1,0,0,0
1,2022-05-16,5271,122,1,0,0,0
1,2022-05-17,5722,144,1,0,0,0
1,2022-05-18,5237,156,1,0,0,1
1,2022-05-19,5255,148,1,0,0,0
1,2022-05-20,6245,134,1,0,0,0
1,2022-05-21,6261,169,1,0,0,0
1,2022-05-22,6563,160,1,0,0,0
1,2022-05-23,5525,147,1,0,0,0
1,2022-05-24,5623,113,1,0,0,0
1,2022-05-25,6537,143,1,0,0,0
1,2022-05-26,5430,186,1,0,0,0
1,2022-05-27,7235,160,1,1,0,0
1,2022-05-28,5507,163,1,0,0,0
1,2022-05-29,6059,146,1,0,0,0
1,2022-05-30,5350,155,1,0,0,0
1,2022-05-31,5606,134,1,1,0,1
1,2022-06-01,4402,96,1,0,0,0
1,2022-06-02,5023,114,1,0,0,1
1,2022-06-03,4679,144,1,0,0,0
1,2022-06-04,4360,102,1,0,0,0
1,2022-06-05,5719,159,1,0,0,0
1,2022-06-06,5366,152,1,1,0,1
1,2022-06-07,5579,141,1,0,0,0
1,2022-06-08,4885,117,1,0,0,0
1,2022-06-09,4764,152,1,0,0,0
1,2022-06-10,4451,117,1,0,0,0
1,2022-06-11,5196,105,1,0,0,0
1,2022-06-12,5455,110,1,0,0,0
1,2022-06-13,5818,164,1,0,0,0
1,2022-06-14,4934,129,1,0,0,0
1,2022-06-15,4103,76,1,0,0,0
1,2022-06-16,6249,160,1,1,0,0
1,2022-06-17,4465,102,1,0,0,1
1,2022-06-18,7816,200,1,1,0,0
1,2022-06-19,6523,159,1,0,0,0
1,2022-06-20,5349,144,1,0,0,1
1,2022-06-21,4590,84,1,0,0,0
1,2022-06-22,4554,94,1,0,0,0
1,2022-06-23,6253,168,1,0,0,1
1,2022-06-24,4198,127,1,0,0,1
1,2022-06-25,6902,212,1,1,0,0
1,2022-06-26,5911,160,1,0,0,0
1,2022-06-27,5431,109,1,0,0,0
1,2022-06-28,4838,132,1,0,0,0
1,2022-06-29,5484,106,1,0,0,0
1,2022-06-30,4921,131,1,0,0,0
1,2022-07-01,5052,135,1,0,0,0
1,2022-07-02,5813,145,1,0,0,0
1,2022-07-03,5957,120,1,0,0,1
1,2022-07-04,6497,187,1,1,0,1
1,2022-07-05,4507,99,1,0,0,0
1,2022-07-06,5466,138,1,0,0,0
1,2022-07-07,0,0,0,0,0,0
1,2022-07-08,4693,145,1,0,0,0
1,2022-07-09,4940,88,1,0,0,1
1,2022-07-10,5141,110,1,0,0,1
1,2022-07-11,3992,75,1,0,0,0
1,2022-07-12,5437,131,1,0,0,0
1,2022-07-13,5527,170,1,0,0,0
1,2022-07-14,4641,104,1,0,0,1
1,2022-07-15,4765,95,1,0,0,0
1,2022-07-16,5611,152,1,0,0,0
1,2022-07-17,5440,139,1,0,0,1
1,2022-07-18,5091,133,1,0,0,1
1,2022-07-19,4084,76,1,0,0,0
1,2022-07-20,4693,121,1,0,0,0
1,2022-07-21,5546,145,1,0,0,0
1,2022-07-22,5239,123,1,0,0,0
1,2022-07-23,6180,168,1,0,0,0
1,2022-07-24,6761,181,1,0,0,0
1,2022-07-25,4766,102,1,0,0,0
1,2022-07-26,6205,180,1,1,0,0
1,2022-07-27,4962,125,1,0,0,0
1,2022-07-28,4797,124,1,0,0,0
1,2022-07-29,5548,109,1,0,0,0
1,2022-07-30,5674,145,1,0,0,1
1,2022-07-31,4864,140,1,0,0,0
1,2022-08-01,4673,124,1,0,0,1
1,2022-08-02,4885,81,1,0,0,0
1,2022-08-03,4233,61,1,0,0,0
1,2022-08-04,0,0,0,0,0,0
1,2022-08-05,5598,176,1,0,0,0
1,2022-08-06,0,0,0,0,0,0
1,2022-08-07,5796,151,1,0,0,0
1,2022-08-08,0,0,0,0,0,0
1,2022-08-09,4780,130,1,0,0,0
1,2022-08-10,5171,154,1,0,0,0
1,2022-08-11,6491,148,1,1,0,0
1,2022-08-12,5841,114,1,0,0,0
1,2022-08-13,6275,147,1,0,0,0
1,2022-08-14,4500,119,1,0,0,1
1,2022-08-15,5187,129,1,0,0,0
1,2022-08-16,4376,91,1,0,0,0
1,2022-08-17,6210,135,1,1,0,0
1,2022-08-18,4810,110,1,0,0,1
1,2022-08-19,4729,119,1,0,0,0
1,2022-08-20,5555,127,1,0,0,0
1,2022-08-21,8233,232,1,1,0,0
1,2022-08-22,5047,118,1,0,0,1
1,2022-08-23,5051,119,1,0,0,0
1,2022-08-24,5159,141,1,0,0,0
1,2022-08-25,5509,138,1,0,0,0
1,2022-08-26,5009,147,1,0,0,0
1,2022-08-27,5874,122,1,0,0,0
1,2022-08-28,6337,127,1,1,0,0
1,2022-08-29,5940,145,1,0,0,0
1,2022-08-30,5387,145,1,0,0,0
1,2022-08-31,4329,118,1,0,0,0
1,2022-09-01,0,0,0,0,0,0
1,2022-09-02,5485,160,1,0,0,0
1,2022-09-03,5125,132,1,0,0,0
1,2022-09-04,5745,166,1,0,0,0
1,2022-09-05,5805,139,1,1,0,0
1,2022-09-06,6047,141,1,0,0,0
1,2022-09-07,5038,136,1,0,0,0
1,2022-09-08,5323,174,1,0,0,0
1,2022-09-09,6666,174,1,1,0,1
1,2022-09-10,8850,222,1,1,0,0
1,2022-09-11,6474,170,1,0,0,1
1,2022-09-12,6003,157,1,0,0,0
1,2022-09-13,6276,164,1,1,0,0
1,2022-09-14,5837,124,1,0,0,0
1,2022-09-15,6090,148,1,0,0,0
1,2022-09-16,5582,146,1,0,0,0
1,2022-09-17,6303,158,1,0,0,0
1,2022-09-18,7021,152,1,0,0,1
1,2022-09-19,6052,146,1,0,0,0
1,2022-09-20,5365,153,1,0,0,0
1,2022-09-21,5896,160,1,0,0,1
1,2022-09-22,5404,135,1,0,0,0
1,2022-09-23,5013,156,1,0,0,0
1,2022-09-24,7683,212,1,0,0,0
1,2022-09-25,6639,188,1,0,0,0
1,2022-09-26,4735,85,1,0,0,0
1,2022-09-27,0,0,0,0,0,1
1,2022-09-28,5816,160,1,0,0,0
1,2022-09-29,5654,137,1,0,0,1
1,2022-09-30,5804,125,1,0,0,0
1,2022-10-01,5871,177,1,0,0,0
1,2022-10-02,7110,188,1,0,0,0
1,2022-10-03,4967,127,1,0,0,0
1,2022-10-04,4984,129,1,0,0,1
1,2022-10-05,0,0,0,0,0,0
1,2022-10-06,5526,138,1,0,0,0
1,2022-10-07,6132,147,1,0,0,0
1,2022-10-08,6125,171,1,0,0,0
1,2022-10-09,6758,153,1,0,0,0
1,2022-10-10,5848,154,1,0,0,1
1,2022-10-11,6173,186,1,0,0,0
1,2022-10-12,5451,187,1,0,0,0
1,2022-10-13,4710,79,1,0,0,0
1,2022-10-14,5812,177,1,0,0,1
1,2022-10-15,5873,132,1,0,0,0
1,2022-10-16,6754,137,1,0,0,0
1,2022-10-17,0,0,0,0,0,0
1,2022-10-18,4821,106,1,0,0,0
1,2022-10-19,5469,116,1,0,0,0
1,2022-10-20,7307,167,1,1,0,0
1,2022-10-21,6179,143,1,0,0,0
1,2022-10-22,5671,166,1,0,0,0
1,2022-10-23,6693,156,1,0,0,0
1,2022-10-24,5698,126,1,0,0,1
1,2022-10-25,4767,102,1,0,0,0
1,2022-10-26,4619,115,1,0,0,0
1,2022-10-27,5961,140,1,0,0,0
1,2022-10-28,6141,140,1,0,0,1
1,2022-10-29,7254,160,1,0,0,0
1,2022-10-30,7466,186,1,0,0,0
1,2022-10-31,5949,98,1,0,0,1
1,2022-11-01,5535,139,1,0,0,0
1,2022-11-02,5791,87,1,0,0,1
1,2022-11-03,5661,172,1,0,0,0
1,2022-11-04,7712,179,1,1,0,0
1,2022-11-05,8198,192,1,1,0,0
1,2022-11-06,8000,169,1,1,0,0
1,2022-11-07,6001,122,1,0,0,0
1,2022-11-08,5376,151,1,0,0,1
1,2022-11-09,5919,137,1,0,0,0
1,2022-11-10,5715,122,1,0,0,0
1,2022-11-11,5482,136,1,0,0,0
1,2022-11-12,5984,103,1,0,0,0
1,2022-11-13,6306,144,1,0,0,0
1,2022-11-14,6071,150,1,0,0,0
1,2022-11-15,6006,176,1,0,0,1
1,2022-11-16,6358,160,1,0,0,0
1,2022-11-17,8058,194,1,1,0,1
1,2022-11-18,0,0,0,1,0,0
1,2022-11-19,5710,123,1,0,0,0
1,2022-11-20,7877,188,1,1,0,0
1,2022-11-21,6047,136,1,0,0,0
1,2022-11-22,5654,122,1,0,0,0
1,2022-11-23,5146,147,1,0,0,0
1,2022-11-24,5910,159,1,0,0,0
1,2022-11-25,4925,83,1,0,0,0
1,2022-11-26,6280,150,1,0,0,0
1,2022-11-27,7167,167,1,0,0,0
1,2022-11-28,5960,132,1,0,0,0
1,2022-11-29,5864,170,1,0,0,0
1,2022-11-30,5448,134,1,0,0,0
1,2022-12-01,7108,178,1,0,0,0
1,2022-12-02,5123,129,1,0,0,0
1,2022-12-03,8568,227,1,0,0,1
1,2022-12-04,8218,186,1,0,0,0
1,2022-12-05,5957,160,1,0,0,0
1,2022-12-06,5999,127,1,0,0,1
1,2022-12-07,5828,158,1,0,0,0
1,2022-12-08,0,0,0,0,0,0
1,2022-12-09,5806,149,1,0,0,0
1,2022-12-10,8297,230,1,0,0,1
1,2022-12-11,7155,167,1,0,0,0
1,2022-12-12,6441,193,1,0,0,0
1,2022-12-13,6929,156,1,0,0,1
1,2022-12-14,6322,177,1,0,0,0
1,2022-12-15,6756,154,1,0,0,1
1,2022-12-16,5144,132,1,0,0,0
1,2022-12-17,8027,196,1,0,0,0
1,2022-12-18,6861,146,1,0,0,0
1,2022-12-19,6545,166,1,0,0,0
1,2022-12-20,5206,150,1,0,0,0
1,2022-12-21,6201,131,1,0,0,1
1,2022-12-22,5635,83,1,1,0,0
1,2022-12-23,6223,135,1,0,0,0
1,2022-12-24,0,0,0,0,0,1
1,2022-12-25,7513,183,1,0,a,0
1,2022-12-26,5793,126,1,0,0,0
1,2022-12-27,7889,182,1,1,0,0
1,2022-12-28,6389,137,1,0,0,0
1,2022-12-29,6367,169,1,0,0,0
1,2022-12-30,6884,153,1,0,0,0
1,2022-12-31,0,0,0,0,0,0
1,2023-01-01,6560,155,1,0,a,0
1,2023-01-02,5982,129,1,0,0,0
1,2023-01-03,6364,166,1,0,0,1
1,2023-01-04,7470,195,1,0,0,0
1,2023-01-05,6896,158,1,0,0,0
1,2023-01-06,6371,146,1,0,0,0
1,2023-01-07,6983,145,1,0,0,0
1,2023-01-08,7662,185,1,0,0,0
1,2023-01-09,5336,132,1,0,0,0
1,2023-01-10,5859,152,1,0,0,0
1,2023-01-11,5849,109,1,0,0,0
1,2023-01-12,6451,152,1,0,0,0
1,2023-01-13,7135,198,1,0,0,0
1,2023-01-14,8088,195,1,0,0,0
1,2023-01-15,7283,178,1,0,0,0
1,2023-01-16,6986,175,1,1,0,0
1,2023-01-17,0,0,0,0,0,0
1,2023-01-18,5653,149,1,0,0,0
1,2023-01-19,6345,153,1,0,0,0
1,2023-01-20,6447,154,1,0,0,0
1,2023-01-21,8962,231,1,0,0,0
1,2023-01-22,5979,137,1,0,0,0
1,2023-01-23,6670,149,1,0,0,0
1,2023-01-24,6077,133,1,0,0,0
1,2023-01-25,5364,158,1,0,0,0
1,2023-01-26,5753,150,1,0,0,0
1,2023-01-27,6070,162,1,0,0,0
1,2023-01-28,7685,230,1,0,0,1
1,2023-01-29,8370,182,1,0,0,0
1,2023-01-30,6726,190,1,0,0,0
1,2023-01-31,5713,145,1,0,0,0
1,2023-02-01,4305,124,1,0,0,0
1,2023-02-02,5377,142,1,0,0,0
1,2023-02-03,0,0,0,1,0,0
1,2023-02-04,7006,188,1,0,0,1
1,2023-02-05,6344,154,1,0,0,1
1,2023-02-06,5307,100,1,0,0,0
1,2023-02-07,5928,167,1,0,0,0
1,2023-02-08,6440,175,1,0,0,1
1,2023-02-09,0,0,0,0,0,0
1,2023-02-10,5096,128,1,0,0,1
1,2023-02-11,7243,191,1,0,0,0
1,2023-02-12,5405,121,1,0,0,0
1,2023-02-13,5424,154,1,0,0,0
1,2023-02-14,4942,139,1,0,0,0
1,2023-02-15,6694,163,1,0,0,0
1,2023-02-16,8449,213,1,1,0,0
1,2023-02-17,6454,160,1,1,0,0
1,2023-02-18,6454,119,1,0,0,0
1,2023-02-19,8318,178,1,1,0,0
1,2023-02-20,6096,140,1,0,0,0
1,2023-02-21,6764,182,1,1,0,1
1,2023-02-22,5556,95,1,0,0,0
1,2023-02-23,5110,97,1,0,0,0
1,2023-02-24,5924,178,1,0,0,0
1,2023-02-25,6281,159,1,0,0,0
1,2023-02-26,6132,160,1,0,0,0
1,2023-02-27,5383,114,1,0,0,1
1,2023-02-28,5781,141,1,0,0,0
1,2023-03-01,5445,136,1,0,0,0
1,2023-03-02,7137,191,1,1,0,1
1,2023-03-03,6088,154,1,1,0,0
1,2023-03-04,9000,215,1,1,0,0
1,2023-03-05,7435,168,1,0,0,0
1,2023-03-06,6512,147,1,0,0,0
1,2023-03-07,6265,151,1,0,0,0
1,2023-03-08,4499,98,1,0,0,0
1,2023-03-09,6067,174,1,0,0,0
1,2023-03-10,6211,146,1,1,0,0
1,2023-03-11,6228,151,1,0,0,0
1,2023-03-12,0,0,0,0,0,0
1,2023-03-13,6199,145,1,0,0,0
1,2023-03-14,5492,115,1,0,0,1
1,2023-03-15,5301,143,1,0,0,1
1,2023-03-16,5337,138,1,0,0,0
1,2023-03-17,5997,147,1,0,0,0
1,2023-03-18,6895,176,1,0,0,0
1,2023-03-19,5821,109,1,0,0,0
1,2023-03-20,5201,104,1,0,0,0
1,2023-03-21,5024,104,1,0,0,0
1,2023-03-22,5631,146,1,0,0,0
1,2023-03-23,5994,140,1,0,0,0
1,2023-03-24,5441,141,1,0,0,0
1,2023-03-25,9000,230,1,1,0,0
1,2023-03-26,6373,156,1,0,0,0
1,2023-03-27,4855,85,1,0,0,0
1,2023-03-28,6194,159,1,0,0,0
1,2023-03-29,4169,103,1,0,0,0
1,2023-03-30,5657,164,1,0,0,0
1,2023-03-31,6734,180,1,1,0,0
1,2023-04-01,4659,155,1,0,0,0
1,2023-04-02,6440,141,1,0,0,0
1,2023-04-03,4741,107,1,0,0,1
1,2023-04-04,5971,136,1,0,0,0
1,2023-04-05,5737,155,1,0,0,0
1,2023-04-06,7184,176,1,1,0,0
1,2023-04-07,6362,161,1,1,0,0
1,2023-04-08,0,0,0,1,0,0
1,2023-04-09,6294,152,1,0,0,0
1,2023-04-10,4615,100,1,0,a,0
1,2023-04-11,5414,149,1,0,a,0
1,2023-04-12,5849,121,1,0,a,0
1,2023-04-13,5029,132,1,0,a,0
1,2023-04-14,8112,227,1,1,a,0
1,2023-04-15,7156,190,1,0,a,0
1,2023-04-16,6858,161,1,0,0,0
1,2023-04-17,7105,158,1,1,0,0
1,2023-04-18,6875,171,1,1,0,0
1,2023-04-19,6284,179,1,1,0,0
1,2023-04-20,5238,148,1,0,0,0
1,2023-04-21,5375,149,1,0,0,0
1,2023-04-22,4990,122,1,0,0,1
1,2023-04-23,0,0,0,0,0,0
1,2023-04-24,5050,113,1,0,0,0
1,2023-04-25,5326,141,1,0,0,0
1,2023-04-26,5431,124,1,0,0,0
1,2023-04-27,6035,175,1,1,0,0
1,2023-04-28,5323,153,1,0,0,0
1,2023-04-29,6549,148,1,0,0,0
1,2023-04-30,6324,134,1,0,0,0
1,2023-05-01,6403,142,1,0,0,1
1,2023-05-02,5903,162,1,1,0,1
1,2023-05-03,5217,126,1,0,0,0
1,2023-05-04,4048,100,1,0,0,0
1,2023-05-05,5355,154,1,0,0,0
1,2023-05-06,0,0,0,0,0,1
1,2023-05-07,6443,164,1,0,0,0
1,2023-05-08,5556,169,1,0,0,1
1,2023-05-09,6043,124,1,0,0,1
1,2023-05-10,5595,144,1,0,0,0
1,2023-05-11,5282,128,1,0,0,0
1,2023-05-12,0,0,0,1,0,0
1,2023-05-13,0,0,0,0,0,0
1,2023-05-14,5768,131,1,0,0,0
1,2023-05-15,7145,206,1,1,0,0
1,2023-05-16,6369,138,1,0,0,0
1,2023-05-17,5355,97,1,0,0,1
1,2023-05-18,0,0,0,1,0,0
1,2023-05-19,6649,155,1,0,0,0
1,2023-05-20,6748,124,1,0,0,1
1,2023-05-21,7612,199,1,0,0,0
1,2023-05-22,5704,110,1,0,0,0
1,2023-05-23,5754,147,1,0,0,0
1,2023-05-24,5522,146,1,0,0,0
1,2023-05-25,5510,118,1,0,0,0
1,2023-05-26,5956,178,1,0,0,0
1,2023-05-27,8543,225,1,1,0,0
1,2023-05-28,6463,179,1,0,0,0
1,2023-05-29,6564,163,1,1,0,0
1,2023-05-30,6540,178,1,1,0,0
1,2023-05-31,6750,141,1,1,0,0
1,2023-06-01,0,0,0,0,0,0
1,2023-06-02,5540,126,1,0,0,0
1,2023-06-03,5220,145,1,0,0,1
1,2023-06-04,6291,157,1,1,0,0
1,2023-06-05,4748,132,1,0,0,0
1,2023-06-06,5221,183,1,0,0,0
1,2023-06-07,4856,139,1,0,0,0
1,2023-06-08,5152,102,1,0,0,0
1,2023-06-09,3660,95,1,0,0,0
1,2023-06-10,6556,178,1,0,0,0
1,2023-06-11,4883,128,1,0,0,1
1,2023-06-12,0,0,0,1,0,0
1,2023-06-13,3683,105,1,0,0,0
1,2023-06-14,4381,88,1,0,0,0
1,2023-06-15,4356,124,1,0,0,0
1,2023-06-16,4825,149,1,0,0,0
1,2023-06-17,6147,137,1,1,0,0
1,2023-06-18,0,0,0,0,0,1
1,2023-06-19,5271,101,1,0,0,0
1,2023-06-20,4966,105,1,0,0,0
1,2023-06-21,5214,148,1,0,0,0
1,2023-06-22,5488,155,1,0,0,0
1,2023-06-23,0,0,0,0,0,0
1,2023-06-24,5286,144,1,0,0,0
1,2023-06-25,5992,163,1,0,0,0
1,2023-06-26,6712,166,1,1,0,0
1,2023-06-27,5175,139,1,0,0,1
1,2023-06-28,4974,119,1,0,0,0
1,2023-06-29,5083,117,1,0,0,0
1,2023-06-30,4522,100,1,0,0,0
1,2023-07-01,6398,152,1,0,0,0
1,2023-07-02,6025,175,1,0,0,0
1,2023-07-03,4200,94,1,0,0,0
1,2023-07-04,4104,113,1,0,0,0
1,2023-07-05,4874,114,1,0,0,0
1,2023-07-06,5367,124,1,1,0,0
1,2023-07-07,5155,124,1,1,0,0
1,2023-07-08,5391,112,1,0,0,0
1,2023-07-09,4953,105,1,0,0,0
1,2023-07-10,4453,109,1,0,0,1
1,2023-07-11,5041,100,1,0,0,1
1,2023-07-12,5360,157,1,0,0,0
1,2023-07-13,5451,156,1,0,0,0
1,2023-07-14,6355,154,1,1,0,0
1,2023-07-15,6104,148,1,0,0,0
1,2023-07-16,5914,145,1,0,0,0
1,2023-07-17,5196,129,1,0,0,1
1,2023-07-18,4863,89,1,0,0,0
1,2023-07-19,4732,153,1,0,0,0
1,2023-07-20,5633,148,1,0,0,1
1,2023-07-21,5231,112,1,0,0,1
1,2023-07-22,5445,168,1,0,0,1
1,2023-07-23,6532,173,1,0,0,0
1,2023-07-24,5183,157,1,0,0,0
1,2023-07-25,5287,145,1,0,0,0
1,2023-07-26,4846,137,1,0,0,0
1,2023-07-27,4816,93,1,0,0,0
1,2023-07-28,5292,143,1,0,0,1
1,2023-07-29,6049,143,1,0,0,0
1,2023-07-30,5913,163,1,0,0,1
1,2023-07-31,4941,98,1,0,0,0
1,2023-08-01,5352,144,1,0,0,0
1,2023-08-02,4435,104,1,0,0,0
1,2023-08-03,4646,73,1,0,0,0
1,2023-08-04,5213,141,1,0,0,0
1,2023-08-05,5788,158,1,0,0,0
1,2023-08-06,7431,189,1,1,0,0
1,2023-08-07,6427,164,1,0,0,0
1,2023-08-08,5031,135,1,0,0,0
1,2023-08-09,4491,114,1,0,0,0
1,2023-08-10,7266,167,1,1,0,1
1,2023-08-11,4327,79,1,0,0,1
1,2023-08-12,6296,177,1,0,0,0
1,2023-08-13,7180,201,1,0,0,0
1,2023-08-14,5472,143,1,0,0,0
1,2023-08-15,6759,162,1,1,0,1
1,2023-08-16,4559,131,1,0,0,0
1,2023-08-17,4833,119,1,0,0,0
1,2023-08-18,4571,119,1,0,0,0
1,2023-08-19,6984,132,1,0,0,0
1,2023-08-20,5828,129,1,0,0,0
1,2023-08-21,4918,117,1,0,0,0
1,2023-08-22,5415,123,1,0,0,0
1,2023-08-23,5054,104,1,0,0,0
1,2023-08-24,4609,103,1,0,0,0
1,2023-08-25,3858,92,1,0,0,1
1,2023-08-26,7193,165,1,0,0,0
1,2023-08-27,5988,164,1,0,0,0
1,2023-08-28,6573,192,1,1,0,0
1,2023-08-29,5295,139,1,0,0,0
1,2023-08-30,5057,130,1,0,0,0
1,2023-08-31,5415,115,1,0,0,0
1,2023-09-01,6013,142,1,0,0,0
1,2023-09-02,5672,146,1,0,0,0
1,2023-09-03,6283,143,1,0,0,0
1,2023-09-04,5969,120,1,0,0,0
1,2023-09-05,6107,161,1,0,0,0
1,2023-09-06,4748,132,1,0,0,0
1,2023-09-07,7397,164,1,1,0,1
1,2023-09-08,4420,103,1,0,0,0
1,2023-09-09,8655,229,1,1,0,0
1,2023-09-10,6400,150,1,0,0,0
1,2023-09-11,7318,198,1,1,0,0
1,2023-09-12,5836,143,1,0,0,1
1,2023-09-13,6528,169,1,1,0,0
1,2023-09-14,6287,183,1,0,0,1
1,2023-09-15,5846,186,1,0,0,0
1,2023-09-16,7275,217,1,0,0,0
1,2023-09-17,6275,164,1,0,0,0
1,2023-09-18,0,0,0,0,0,0
1,2023-09-19,5844,163,1,0,0,0
1,2023-09-20,6154,177,1,0,0,0
1,2023-09-21,6579,164,1,0,0,0
1,2023-09-22,5722,122,1,0,0,0
1,2023-09-23,7911,187,1,0,0,1
1,2023-09-24,6945,200,1,0,0,0
1,2023-09-25,5523,149,1,0,0,0
1,2023-09-26,4589,125,1,0,0,0
